年,月日,データ種別,事柄,終了年,終了月日,地域,詳細レベル,区分,関連国,補足,キーワード,,,,
-305,,5,セレウコス朝シリア、インドに侵入、チャンドラグプタに撃退される。,-305,,アジア,1,,ペルシア:中東,,セレウコス朝シリア,,,,
-305,,5,セレウコス朝シリア、都セレウキアを建設。,-305,,アジア,1,,ペルシア:中東,,セレウコス朝シリア,,,,
-304,,5,プトレマイオス朝エジプト（都アレクサンドリア）自立する。,-304,,欧米,1,,エジプト,,セレウコス朝シリア,,,,
-301,,5,イプソスの戦いでディアドコイの争い終わる。,-301,,アジア,1,,ギリシア:中東,,アルゲアス朝マケドニア王国,,,,
-300,,5,セレウコス朝シリア、都アンティオキアを建設。,-300,,アジア,1,,ペルシア:中東,,セレウコス朝シリア,,,,
-300,,5,マウリヤ朝の宰相カウティリヤ『実利論』を著す。,-300,,アジア,1,2,印,,,,,,
-290,,5,サムニウム戦争終わり、ローマが半島中部を制覇。,-290,,欧米,1,,ローマ,,,,,,
-289,,5,孟子が死去。荀子が生まれる。,-289,,アジア,1,2,中国,,,,,,
-287,,5,ローマでホルテンシウス法が制定された。,-287,,欧米,1,,ローマ,,,,,,
-279,,5,エペイロス王ピュロス、アスクルムの戦いでローマ軍を破る。（「ピュロスの勝利」）,-279,,欧米,1,,ローマ,,,,,,
-276,,5,アンティゴノス朝マケドニア建国。,-276,,欧米,1,,ギリシア,,アンティゴノス朝マケドニア,,,,
-272,,5,タレントゥムが降り、ローマの半島統一終わる。,-272,,欧米,1,,ローマ,,,,,,
-268,,5,マウリヤ朝アショーカ王が即位。～232bc*　仏教保護。,-268,,アジア,1,2,印,,宗教,,,,
-264,,5,ローマとカルタゴのポエニ戦争始まる。（第１回～241bc）,-264,,欧米,1,,ローマ,,,,,,
-260,,5,秦と趙の長平の戦い。,-260,,アジア,1,,中国,,,,,,
-256,,5,秦が東周を滅ぼす（249bc説もあり）,-256,,アジア,1,,中国,,,,,,
-255,,5,バクトリアがシリアから自立。,-255,,アジア,1,,中東,,,,,,
-247,,5,秦で政王が即位（後の始皇帝）。,-247,,アジア,1,,中国,,,,,,
